Line|LOS|a|e|i|o|u|Ac|Ec|Ic|Oc|Uc
"ourselves to perdition!"|24|0|3|2|3|1|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Finally, I always go to sea as a sailor, because of the wholesome"|66|8|6|2|6|1|0|0|1|0|0
"exercise and pure air of the fore-castle deck. For as in this world,"|69|4|8|4|4|1|0|0|0|0|0
"head winds are far more prevalent than winds from astern (that is, if"|70|7|6|4|2|0|0|0|0|0|0
"you never violate the Pythagorean maxim), so for the most part the"|67|5|7|2|6|1|0|0|0|0|0
"Commodore on the quarter-deck gets his atmosphere at second hand from"|70|4|8|1|7|1|0|0|0|0|0
"the sailors on the forecastle. He thinks he breathes it first; but not"|71|3|8|4|4|1|0|0|0|0|0
"so. In much the same way do the commonalty lead their leaders in many"|70|6|7|2|4|1|0|0|1|0|0
"other things, at the same time that the leaders little suspect it. But"|71|4|9|4|1|2|0|0|0|0|0
"wherefore it was that after having repeatedly smelt the sea as a"|65|8|10|2|1|0|0|0|0|0|0
"merchant sailor, I should now take it into my head to go on a whaling"|70|6|3|4|7|1|0|0|1|0|0
"voyage; this the invisible police officer of the Fates, who has the"|68|3|8|6|5|0|0|0|0|0|0
"constant surveillance of me, and secretly dogs me, and influences me in"|72|4|9|3|3|2|0|0|0|0|0
"some unaccountable way—he can better answer than any one else. And,"|68|7|9|0|3|2|1|0|0|0|0
"doubtless, my going on this whaling voyage, formed part of the grand"|69|4|4|3|6|1|0|0|0|0|0
"programme of Providence that was drawn up a long time ago. It came in"|70|7|5|3|5|1|0|0|1|0|0
"as a sort of brief interlude and solo between more extensive"|61|3|10|3|5|1|0|0|0|0|0
"performances. I take it that this part of the bill must have run"|65|5|5|3|2|2|0|0|1|0|0
"something like this:"|21|0|2|3|1|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"“_Grand Contested Election for the Presidency of the United States._"|69|2|9|3|4|0|0|1|0|0|1
"“WHALING VOYAGE BY ONE ISHMAEL. “BLOODY BATTLE IN AFFGHANISTAN.”"|65|0|0|0|0|0|7|4|4|4|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Though I cannot tell why it was exactly that those stage managers, the"|71|7|6|1|3|1|0|0|1|0|0
"Fates, put me down for this shabby part of a whaling voyage, when"|66|6|4|2|4|1|0|0|0|0|0
"others were set down for magnificent parts in high tragedies, and short"|72|4|7|5|4|0|0|0|0|0|0
"and easy parts in genteel comedies, and jolly parts in farces—though I"|71|6|7|3|3|1|0|0|1|0|0
"cannot tell why this was exactly; yet, now that I recall all the"|65|6|5|1|2|0|0|0|1|0|0
"circumstances, I think I can see a little into the springs and motives"|71|4|6|6|2|1|0|0|2|0|0
"which being cunningly presented to me under various disguises, induced"|71|1|8|7|2|5|0|0|0|0|0
"me to set about performing the part I did, besides cajoling me into the"|72|3|8|5|5|1|0|0|1|0|0
"delusion that it was a choice resulting from my own unbiased freewill"|70|4|6|6|4|3|0|0|0|0|0
"and discriminating judgment."|29|2|1|4|0|1|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Chief among these motives was the overwhelming idea of the great whale"|71|5|11|4|4|0|0|0|0|0|0
"himself. Such a portentous and mysterious monster roused all my"|64|3|5|2|5|4|0|0|0|0|0
"curiosity. Then the wild and distant seas where he rolled his island"|69|4|7|6|2|1|0|0|0|0|0
"bulk; the undeliverable, nameless perils of the whale; these, with all"|71|4|11|3|1|2|0|0|0|0|0
"the attending marvels of a thousand Patagonian sights and sounds,"|66|8|3|3|4|2|0|0|0|0|0
"helped to sway me to my wish. With other men, perhaps, such things"|67|2|6|3|3|1|0|0|0|0|0
"would not have been inducements; but as for me, I am tormented with an"|71|4|8|2|4|3|0|0|1|0|0
"everlasting itch for things remote. I love to sail forbidden seas, and"|71|4|7|5|5|0|0|0|1|0|0
"land on barbarous coasts. Not ignoring what is good, I am quick to"|67|6|0|4|8|2|0|0|1|0|0
"perceive a horror, and could still be social with it—would they let"|68|3|6|5|5|2|0|0|0|0|0
"me—since it is but well to be on friendly terms with all the inmates of"|72|2|8|6|3|1|0|0|0|0|0
"the place one lodges in."|25|1|4|1|2|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"By reason of these things, then, the whaling voyage was welcome; the"|69|4|9|2|4|0|0|0|0|0|0
"great flood-gates of the wonder-world swung open, and in the wild"|66|3|6|2|6|1|0|0|0|0|0
"conceits that swayed me to my purpose, two and two there floated into"|70|4|7|2|7|1|0|0|0|0|0
"my inmost soul, endless processions of the whale, and, mid most of them"|72|2|6|3|7|1|0|0|0|0|0
